"start";"end";"deviceid";"বয়স";"লিঙ্গ";"শিক্ষাগত যোগ্যতা";"পেশা";"আপনি কোথায় বসবাস করেন?";"আপনার চা পানের ধরণ কেমন?";"আপনি প্রতিদিন সাধারণত কোন সময়ে নিয়মিত চা পান করেন?";"আপনি প্রতিদিন সাধারণত কোন সময়ে নিয়মিত চা পান করেন?/সকাল";"আপনি প্রতিদিন সাধারণত কোন সময়ে নিয়মিত চা পান করেন?/দুপুর";"আপনি প্রতিদিন সাধারণত কোন সময়ে নিয়মিত চা পান করেন?/বিকাল/সন্ধ্যায়";"আপনি প্রতিদিন সাধারণত কোন সময়ে নিয়মিত চা পান করেন?/রাতে";"আপনার পরিবারের অন্য কতজন সদস্য চা পান করেন? ";"আপনি কোন ধরণের চা পান করে থাকেন? ";"আপনি কোন ধরণের চা পান করে থাকেন? /র/লাল চা";"আপনি কোন ধরণের চা পান করে থাকেন? /দুধ চা";"আপনি কোন ধরণের চা পান করে থাকেন? /গ্রীন চা";"আপনি কোন ধরণের চা পান করে থাকেন? /হারবাল চা";"আপনি কোন ধরণের চা পান করে থাকেন? /উলং চা";"আপনি কোন ধরণের চা পান করে থাকেন? /অন্যান্য";"আপনি কোন ধরণের চা পান করে থাকেন? /রেডি চা";"আপনি কোন ধরণের চা পান করে থাকেন? /ফ্লেভারযুক্ত চা";"আপনি সাধারণত কোন ধরণের চা ক্রয় করেন?";"আপনি সাধারণত কোন ধরণের চা ক্রয় করেন?/ব্যান্ডের টি ব্যাগ";"আপনি সাধারণত কোন ধরণের চা ক্রয় করেন?/খোলা চা ";"আপনি সাধারণত কোন ধরণের চা ক্রয় করেন?/রেডি/প্যাকেজ চা";"আপনি সাধারণত কোন ধরণের চা ক্রয় করেন?/অন্যান্য";"আপনি সাধারণত কোন ধরণের চা ক্রয় করেন?/ব্রান্ডের চা পাতা";"আপনি সাধারনরত কোন জায়গা চা পাতা ক্রয় করে থাকেন?";"আপনি সাধারনরত কোন জায়গা চা পাতা ক্রয় করে থাকেন?/মুদি দোকান";"আপনি সাধারনরত কোন জায়গা চা পাতা ক্রয় করে থাকেন?/সুপারশপ";"আপনি সাধারনরত কোন জায়গা চা পাতা ক্রয় করে থাকেন?/অনলাইন শপ";"আপনি সাধারনরত কোন জায়গা চা পাতা ক্রয় করে থাকেন?/অন্যান্য";"প্রতি মাসে আপনার কত টাকার চা পাতা ক্রয় করে থাকেন?";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/ব্র্যান্ড এর খ্যাতি";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/গুনগত মান";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/স্বাদ ";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/ঘ্রান";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/পন্যের মোড়ক ";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/সুলভ ক্রয়মূল্য ";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/ডিসকাউন্ট বা ফ্রি গিফট";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/দোকানদার যা দেয় তাই কিনি";"চা পাতা ক্রয়ের ক্ষেত্রে আপনি কোন বিষয়কে বেশী প্রাধান্য দিয়ে থাকেন?/যখন যা পাই ";"বর্তমানে আপনি যে ব্রান্ডের চা পান করছেন সেটি সম্পর্কে আপনি কিভাবে আগ্রহী হয়েছিলেন?";"বর্তমানে আপনি যে ব্রান্ডের চা পান করছেন সেটি সম্পর্কে আপনি কিভাবে আগ্রহী হয়েছিলেন?/বিজ্ঞাপন দেখে";"বর্তমানে আপনি যে ব্রান্ডের চা পান করছেন সেটি সম্পর্কে আপনি কিভাবে আগ্রহী হয়েছিলেন?/কারো কাছ থেকে শুনে";"বর্তমানে আপনি যে ব্রান্ডের চা পান করছেন সেটি সম্পর্কে আপনি কিভাবে আগ্রহী হয়েছিলেন?/পান করে";"বিদ্যমান ব্রান্ডের চায়ের ক্ষেত্রে চায়ের মানোন্নয়নে আপনার কোন প্রত্যাশা বা পরামর্শ রয়েছে কি? ";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2023-09-24T19:06:24.021+06:00";"2023-09-24T19:08:03.761+06:00";"ee-eu.kobotoolbox.org:2juj1p2L6ZwIZDhc";"28";"পুরুষ";"স্নাতক/ডিগ্রী/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"সপ্তাহে ৩-৫ বার";"বিকাল/সন্ধ্যায়";"0";"0";"1";"0";"৩";"র/লাল চা দুধ চা";"1";"1";"0";"0";"0";"0";"0";"0";"ব্যান্ডের টি ব্যাগ খোলা চা ";"1";"1";"0";"0";"0";"মুদি দোকান সুপারশপ";"1";"1";"0";"0";"৫০১ থেকে ১০০০ টাকা";"গুনগত মান স্বাদ  ঘ্রান সুলভ ক্রয়মূল্য  যখন যা পাই ";"0";"1";"1";"1";"0";"1";"0";"0";"1";"পান করে";"0";"0";"1";"না";"483262418";"3d17a924-68a1-4831-b016-48170c2fdf94";"2023-09-24T13:08:05";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"1"
"2023-09-24T19:08:29.157+06:00";"2023-09-24T19:10:17.917+06:00";"ee-eu.kobotoolbox.org:hKj6bxTfW7LiCIH0";"27";"পুরুষ";"স্নাতক/ডিগ্রী/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল বিকাল/সন্ধ্যায়";"1";"0";"1";"0";"২";"র/লাল চা দুধ চা";"1";"1";"0";"0";"0";"0";"0";"0";"ব্রান্ডের চা পাতা";"0";"0";"0";"0";"1";"মুদি দোকান";"1";"0";"0";"0";"২০০ থেকে ৫০০ টাকার মধ্যে";"ব্র্যান্ড এর খ্যাতি";"1";"0";"0";"0";"0";"0";"0";"0";"0";"বিজ্ঞাপন দেখে";"1";"0";"0";"no";"483263956";"c698529c-e83e-49ad-b97f-777b5b2dde3a";"2023-09-24T13:10:20";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"2"
"2023-09-24T19:07:08.701+06:00";"2023-09-24T19:10:33.388+06:00";"ee-eu.kobotoolbox.org:4WKZsLQHJ3Hu0Fwx";"29";"নারী";"স্নাতক/ডিগ্রী/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল";"1";"0";"0";"0";"২";"র/লাল চা দুধ চা গ্রীন চা";"1";"1";"1";"0";"0";"0";"0";"0";"ব্রান্ডের চা পাতা";"0";"0";"0";"0";"1";"মুদি দোকান সুপারশপ";"1";"1";"0";"0";"২০০ থেকে ৫০০ টাকার মধ্যে";"ব্র্যান্ড এর খ্যাতি গুনগত মান স্বাদ  ঘ্রান";"1";"1";"1";"1";"0";"0";"0";"0";"0";"পান করে";"0";"0";"1";"কম দামে আরো ভালো কোয়ালিটি";"483264077";"906e1fb9-4860-4b31-b1e2-da1a65453750";"2023-09-24T13:10:36";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"3"
"2023-09-24T19:06:39.395+06:00";"2023-09-24T19:10:41.202+06:00";"ee-eu.kobotoolbox.org:2cFYKe2UGISWn5vf";"24";"নারী";"স্নাতক/ডিগ্রী/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল বিকাল/সন্ধ্যায়";"1";"0";"1";"0";"৩";"র/লাল চা দুধ চা";"1";"1";"0";"0";"0";"0";"0";"0";"ব্রান্ডের চা পাতা";"0";"0";"0";"0";"1";"মুদি দোকান সুপারশপ";"1";"1";"0";"0";"২০০ টাকার কম";"ব্র্যান্ড এর খ্যাতি স্বাদ ";"1";"0";"1";"0";"0";"0";"0";"0";"0";"পান করে";"0";"0";"1";"";"483264140";"a115ae39-c25b-4066-b0be-0cb489aacde0";"2023-09-24T13:10:43";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"4"
"2023-09-24T19:06:23.305+06:00";"2023-09-24T19:11:03.837+06:00";"ee-eu.kobotoolbox.org:tUfkRXQUItQ3DJ6w";"43";"পুরুষ";"স্নাতকোত্তর/সমমান";"ব্যাবসা/উদ্যোক্তা";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল বিকাল/সন্ধ্যায়";"1";"0";"1";"0";"৪";"র/লাল চা";"1";"0";"0";"0";"0";"0";"0";"0";"ব্রান্ডের চা পাতা";"0";"0";"0";"0";"1";"মুদি দোকান সুপারশপ";"1";"1";"0";"0";"২০০ থেকে ৫০০ টাকার মধ্যে";"ব্র্যান্ড এর খ্যাতি গুনগত মান ঘ্রান পন্যের মোড়ক  সুলভ ক্রয়মূল্য  ডিসকাউন্ট বা ফ্রি গিফট";"1";"1";"0";"1";"1";"1";"1";"0";"0";"পান করে";"0";"0";"1";"ভাল কোয়ালিটির চা সাথে প্রাইস কম হলে ভাল হয়।";"483264349";"effcc25a-5826-4456-864b-e5cf537d6752";"2023-09-24T13:11:04";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"5"
"2023-09-24T19:06:05.806+06:00";"2023-09-24T19:12:11.772+06:00";"ee-eu.kobotoolbox.org:KBeMFKnAHA5DKI8e";"24";"নারী";"স্নাতক/ডিগ্রী/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল বিকাল/সন্ধ্যায়";"1";"0";"1";"0";"১";"র/লাল চা";"1";"0";"0";"0";"0";"0";"0";"0";"ব্রান্ডের চা পাতা";"0";"0";"0";"0";"1";"মুদি দোকান";"1";"0";"0";"0";"২০০ টাকার কম";"দোকানদার যা দেয় তাই কিনি";"0";"0";"0";"0";"0";"0";"0";"1";"0";"পান করে";"0";"0";"1";"ভালো ঘ্রাণ ও ভালো কোয়ালিটি";"483265052";"908c5e6c-a015-4c8c-9ccb-df6dddf10a93";"2023-09-24T13:12:13";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"6"
"2023-09-24T19:07:34.342+06:00";"2023-09-24T19:14:36.408+06:00";"ee-eu.kobotoolbox.org:e3FbtmnRzxMP0CYE";"27";"পুরুষ";"স্নাতক/ডিগ্রী/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল";"1";"0";"0";"0";"৩";"দুধ চা";"0";"1";"0";"0";"0";"0";"0";"0";"ব্রান্ডের চা পাতা";"0";"0";"0";"0";"1";"মুদি দোকান সুপারশপ";"1";"1";"0";"0";"২০০ থেকে ৫০০ টাকার মধ্যে";"ব্র্যান্ড এর খ্যাতি গুনগত মান স্বাদ  ঘ্রান সুলভ ক্রয়মূল্য ";"1";"1";"1";"1";"0";"1";"0";"0";"0";"বিজ্ঞাপন দেখে পান করে";"1";"0";"1";"";"483266393";"8952fe7e-b657-46da-917a-99ad254b7fd9";"2023-09-24T13:14:37";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"7"
"2023-09-24T19:08:48.676+06:00";"2023-09-24T19:19:43.935+06:00";"ee-eu.kobotoolbox.org:a5b3c8sfEKHMzZft";"27";"পুরুষ";"স্নাতক/ডিগ্রী/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"সপ্তাহে ৩-৫ বার";"সকাল";"1";"0";"0";"0";"৪";"র/লাল চা";"1";"0";"0";"0";"0";"0";"0";"0";"খোলা চা  ব্রান্ডের চা পাতা";"0";"1";"0";"0";"1";"মুদি দোকান";"1";"0";"0";"0";"২০০ টাকার কম";"গুনগত মান স্বাদ  পন্যের মোড়ক  সুলভ ক্রয়মূল্য  ডিসকাউন্ট বা ফ্রি গিফট";"0";"1";"1";"0";"1";"1";"1";"0";"0";"পান করে";"0";"0";"1";"চায়ের গুনগত মান ঠিক রাখা এবং কালারের জন্য ক্যামিক্যাল ব্যবহার না করা।";"483268718";"d54b797a-dfa6-4dab-b25e-3bb76d1b3526";"2023-09-24T13:19:45";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"8"
"2023-09-25T10:52:07.213+06:00";"2023-09-25T11:50:47.600+06:00";"ee-eu.kobotoolbox.org:tJN4zHlJ1MXhP4qh";"25";"পুরুষ";"স্নাতকোত্তর/সমমান";"বেসরকারি চাকরি";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল বিকাল/সন্ধ্যায়";"1";"0";"1";"0";"৫ বা তার চেয়ে বেশী";"দুধ চা";"0";"1";"0";"0";"0";"0";"0";"0";"খোলা চা  ব্রান্ডের চা পাতা";"0";"1";"0";"0";"1";"মুদি দোকান";"1";"0";"0";"0";"২০০ থেকে ৫০০ টাকার মধ্যে";"গুনগত মান স্বাদ  ঘ্রান সুলভ ক্রয়মূল্য ";"0";"1";"1";"1";"0";"1";"0";"0";"0";"পান করে";"0";"0";"1";"";"483458543";"ef6cb917-f252-4443-8fe2-934cf457c920";"2023-09-25T05:50:50";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"9"
"2023-09-25T11:48:11.344+06:00";"2023-09-25T11:50:41.400+06:00";"ee-eu.kobotoolbox.org:7TkVyYoc7M1iG7Fv";"37";"পুরুষ";"স্নাতকোত্তর/সমমান";"ব্যাবসা/উদ্যোক্তা";"বড় শহর (রাজধানী/বিভাগীয় শহর/সিটি কর্পোরেশন)";"প্রতিদিন";"সকাল দুপুর বিকাল/সন্ধ্যায়";"1";"1";"1";"0";"২";"দুধ চা";"0";"1";"0";"0";"0";"0";"0";"0";"ব্যান্ডের টি ব্যাগ";"1";"0";"0";"0";"0";"মুদি দোকান সুপারশপ";"1";"1";"0";"0";"২০০ থেকে ৫০০ টাকার মধ্যে";"ব্র্যান্ড এর খ্যাতি গুনগত মান স্বাদ  ঘ্রান সুলভ ক্রয়মূল্য  ডিসকাউন্ট বা ফ্রি গিফট";"1";"1";"1";"1";"0";"1";"1";"0";"0";"বিজ্ঞাপন দেখে";"1";"0";"0";"গুণগত পন্য";"483458590";"eeae379c-4e13-4cfd-95ca-9f270bf71f41";"2023-09-25T05:50:59";"";"";"submitted_via_web";"";"vJ2Tkq5seTNihpnaxv2oke";"";"10"
